name,id,key,primary_role,secondary_role,attack,defense,magic,difficulty,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed
Aatrox,Aatrox,266,Fighter,,8,4,3,4,650,114,0,0.0,345,38,4.8,32,2.05,175,3.0,0.5,0.0,0.0,60,5.0,2.5,0.651
Ahri,Ahri,103,Mage,Assassin,3,4,8,5,590,104,418,25.0,330,21,4.7,30,1.3,550,2.5,0.6,8.0,0.8,53,3.0,2.2,0.668
Akali,Akali,84,Assassin,,5,3,8,7,600,119,200,0.0,345,23,4.7,37,2.05,125,9.0,0.9,50.0,0.0,62,3.3,3.2,0.625
Akshan,Akshan,166,Marksman,Assassin,0,0,0,0,630,107,350,40.0,330,26,4.7,30,1.3,500,3.75,0.65,8.2,0.7,52,3.0,4.0,0.638
Alistar,Alistar,12,Tank,Support,6,9,5,7,685,120,350,40.0,330,47,4.7,32,2.05,125,8.5,0.85,8.5,0.8,62,3.75,2.125,0.625
Ambessa,Ambessa,799,Fighter,Assassin,9,2,0,10,630,110,200,0.0,335,35,4.9,32,2.05,125,8.5,0.75,50.0,0.0,63,3.0,2.5,0.625
Amumu,Amumu,32,Tank,Support,2,6,8,3,685,94,285,40.0,335,33,4.0,32,2.05,125,9.0,0.85,7.4,0.55,57,3.8,2.18,0.736
Anivia,Anivia,34,Mage,,1,4,10,10,550,92,495,45.0,325,21,4.5,30,1.3,600,5.5,0.55,8.0,0.8,51,3.2,1.68,0.658
Annie,Annie,1,Mage,Support,2,3,10,6,560,102,418,25.0,335,19,4.7,30,1.3,625,5.5,0.55,8.0,0.8,50,2.65,1.36,0.61
Aphelios,Aphelios,523,Marksman,,6,2,1,10,600,102,348,42.0,325,26,4.2,30,1.3,550,3.25,0.55,6.5,0.4,55,2.3,2.1,0.64
Ashe,Ashe,22,Marksman,Support,7,3,2,4,610,101,280,35.0,325,26,4.6,30,1.3,600,3.5,0.55,7.0,0.65,59,2.95,3.33,0.658
Aurelion Sol,AurelionSol,136,Mage,,2,3,8,7,600,90,530,40.0,335,22,4.0,30,1.3,550,5.5,0.55,8.0,0.75,58,3.2,1.5,0.625
Aurora,Aurora,893,Mage,Assassin,3,4,8,5,607,110,475,30.0,335,23,4.5,30,1.3,550,6.0,0.55,8.0,0.8,53,3.0,2.0,0.668
Azir,Azir,268,Mage,Marksman,6,3,8,9,550,119,320,40.0,335,25,5.0,30,1.3,525,7.0,0.75,8.0,0.8,56,3.5,6.0,0.625
Bard,Bard,432,Support,Mage,4,4,5,9,630,103,350,50.0,330,34,5.0,30,1.3,500,5.5,0.55,6.0,0.45,52,3.0,2.0,0.658
Bel'Veth,Belveth,200,Fighter,,4,2,7,10,610,99,60,0.0,340,32,4.7,32,2.05,150,6.0,0.6,0.0,0.0,60,1.5,0.0,0.85
Blitzcrank,Blitzcrank,53,Tank,Support,4,8,5,4,600,109,267,40.0,325,37,4.7,32,2.05,125,7.5,0.75,8.5,0.8,62,3.5,1.13,0.625
Brand,Brand,63,Mage,Support,2,2,9,4,570,105,469,21.0,340,27,4.2,30,1.3,550,5.5,0.55,9.0,0.6,57,3.0,2.0,0.681
Braum,Braum,201,Tank,Support,3,9,4,3,610,112,311,45.0,335,47,5.2,32,2.05,125,8.5,1.0,7.0,0.8,55,3.2,3.5,0.644
Briar,Briar,233,Fighter,Assassin,9,5,3,3,625,95,0,0.0,340,30,4.2,32,2.05,125,0.0,0.0,0.0,0.0,60,3.0,2.0,0.644
Caitlyn,Caitlyn,51,Marksman,,8,2,2,6,580,107,315,40.0,325,27,4.7,30,1.3,650,3.5,0.55,7.4,0.7,60,3.8,4.0,0.681
Camille,Camille,164,Fighter,Assassin,8,6,3,4,650,99,339,52.0,340,35,5.0,32,2.05,125,8.5,0.8,8.15,0.75,68,3.8,2.5,0.644
Cassiopeia,Cassiopeia,69,Mage,,2,3,9,10,630,104,400,40.0,328,18,4.7,32,1.3,550,5.5,0.5,8.0,0.8,53,3.0,1.5,0.647
Cho'Gath,Chogath,31,Tank,Mage,3,7,7,5,644,94,270,60.0,345,38,5.0,32,2.05,125,9.0,0.85,7.2,0.45,69,4.2,1.44,0.625
Corki,Corki,42,Marksman,Mage,8,3,6,6,610,100,350,40.0,325,30,4.5,30,1.3,550,5.5,0.55,7.4,0.7,52,2.0,2.8,0.644
Darius,Darius,122,Fighter,Tank,9,5,1,2,652,114,263,58.0,340,39,5.2,32,2.05,175,10.0,0.95,6.6,0.35,64,5.0,1.0,0.625
Diana,Diana,131,Fighter,Assassin,7,6,8,4,640,109,375,25.0,345,31,4.3,32,2.05,150,6.5,0.85,8.0,0.8,57,3.0,2.0,0.625
Draven,Draven,119,Marksman,,9,3,1,8,675,104,361,39.0,330,29,4.5,30,1.3,550,3.75,0.7,8.05,0.65,62,3.6,2.7,0.679
Dr. Mundo,DrMundo,36,Tank,Fighter,5,7,6,5,613,103,0,0.0,345,32,3.7,29,2.3,125,7.0,0.5,0.0,0.0,61,2.5,3.3,0.67
Ekko,Ekko,245,Assassin,Mage,5,3,7,8,655,99,280,70.0,340,32,4.2,32,2.05,125,9.0,0.9,7.0,0.8,58,3.0,3.3,0.688
Elise,Elise,60,Assassin,Mage,6,5,7,9,620,109,324,50.0,330,30,4.5,30,1.3,550,5.5,0.6,6.0,0.8,55,3.0,1.75,0.625
Evelynn,Evelynn,28,Assassin,Mage,4,2,7,10,642,98,315,42.0,335,37,4.7,32,2.05,125,8.5,0.75,8.11,0.6,61,3.0,2.1,0.667
