match_id,team,attack_mean,defense_mean,magic_mean,difficulty_mean,primary_role_Assassin_sum,primary_role_Fighter_sum,primary_role_Mage_sum,primary_role_Marksman_sum,primary_role_Support_sum,primary_role_Tank_sum,game_duration,win
NA1_5212986504,1,7.2,2.6,5.2,5.0,0,0,1,4,0,0,700.0,False
NA1_5212986504,2,4.0,4.8,5.6,6.2,1,0,1,2,0,1,700.0,True
NA1_5213001751,1,5.4,4.2,6.6,7.8,0,3,2,0,0,0,1219.0,True
NA1_5213001751,2,2.2,5.6,7.6,5.8,0,0,3,0,1,1,1219.0,False
NA1_5213003831,1,6.8,3.2,4.0,5.8,1,0,0,4,0,0,1760.0,False
NA1_5213003831,2,3.8,7.2,6.4,4.0,1,0,1,0,0,3,1760.0,True
NA1_5213009956,1,4.6,4.0,3.8,5.6,1,0,2,0,1,1,1548.0,False
NA1_5213009956,2,5.2,5.8,4.8,5.2,0,1,1,1,1,1,1548.0,True
NA1_5213018135,1,6.8,4.2,5.6,7.4,2,1,0,1,1,0,1401.0,True
NA1_5213018135,2,5.4,4.0,5.8,5.2,1,2,2,0,0,0,1401.0,False
NA1_5213019207,1,5.2,5.2,5.6,6.0,0,0,2,2,0,1,880.0,True
NA1_5213019207,2,5.0,4.6,4.6,6.0,0,2,0,2,0,1,880.0,False
NA1_5213020312,1,5.2,2.6,6.4,6.6,2,0,2,1,0,0,1780.0,True
NA1_5213020312,2,6.4,5.4,5.0,4.8,1,0,1,0,1,2,1780.0,False
NA1_5213021351,1,5.2,3.6,3.8,5.2,0,1,2,1,1,0,1529.0,True
NA1_5213021351,2,7.0,4.8,3.6,6.0,0,1,1,2,0,1,1529.0,False
NA1_5213022292,1,4.4,5.4,6.0,4.8,0,0,1,1,1,2,576.0,False
NA1_5213022292,2,4.6,4.0,6.0,6.2,0,0,2,2,0,1,576.0,True
NA1_5213026828,1,6.8,5.0,4.2,6.2,1,1,1,1,0,1,1181.0,True
NA1_5213026828,2,4.0,5.0,6.8,5.8,0,1,2,0,0,2,1181.0,False
NA1_5213032268,1,6.0,4.2,5.2,6.4,0,0,1,3,0,1,1590.0,False
NA1_5213032268,2,3.4,4.2,7.8,5.6,0,0,3,0,1,1,1590.0,True
NA1_5213039077,1,4.8,4.6,5.8,5.4,2,1,1,0,0,1,1749.0,True
NA1_5213039077,2,3.2,3.8,7.8,7.4,0,1,2,1,1,0,1749.0,False
NA1_5213041963,1,4.2,4.0,7.2,5.6,0,2,2,0,1,0,1025.0,True
NA1_5213041963,2,4.4,3.4,4.4,4.8,0,0,1,2,1,1,1025.0,False
NA1_5213050751,1,6.2,3.6,5.4,6.4,0,1,2,2,0,0,1191.0,False
NA1_5213050751,2,7.0,4.4,4.4,5.0,1,1,0,2,1,0,1191.0,True
NA1_5213053132,1,4.6,3.0,4.2,3.8,0,0,1,2,1,1,912.0,True
NA1_5213053132,2,6.4,5.4,4.4,4.6,1,1,2,0,0,1,912.0,False
NA1_5213056326,1,7.0,6.2,3.8,3.8,0,1,0,2,0,2,1241.0,True
NA1_5213056326,2,5.4,4.2,5.6,6.0,1,0,2,2,0,0,1241.0,False
NA1_5213056989,1,4.2,5.6,6.8,4.2,1,2,1,0,0,1,1558.0,False
NA1_5213056989,2,6.6,2.4,4.4,4.0,1,0,1,2,1,0,1558.0,True
NA1_5213062099,1,6.2,5.0,4.2,6.2,0,3,1,0,0,1,846.0,False
NA1_5213062099,2,4.6,4.8,6.2,5.6,0,1,2,0,1,1,846.0,True
NA1_5213062672,1,6.6,5.0,3.6,4.2,0,2,0,1,0,2,1043.0,False
NA1_5213062672,2,5.6,4.0,5.6,6.2,0,1,2,1,1,0,1043.0,True
NA1_5213065789,1,6.2,5.0,5.0,7.0,1,1,1,2,0,0,1104.0,True
NA1_5213065789,2,5.8,6.4,4.0,3.8,1,0,0,1,1,2,1104.0,False
NA1_5213071111,1,4.0,4.0,5.0,5.2,1,0,1,1,1,1,1218.0,False
NA1_5213071111,2,3.4,5.0,5.0,4.2,0,0,3,1,0,1,1218.0,True
NA1_5213073359,1,6.0,5.4,4.6,5.8,0,1,1,1,0,2,1269.0,True
