match_id,attack_mean,defense_mean,magic_mean,difficulty_mean,primary_role_Assassin_sum,primary_role_Fighter_sum,primary_role_Mage_sum,primary_role_Marksman_sum,primary_role_Support_sum,primary_role_Tank_sum,win
NA1_5212986504,4.0,4.8,5.6,6.2,1,0,1,2,0,1,True
NA1_5213001751,5.4,4.2,6.6,7.8,0,3,2,0,0,0,True
NA1_5213001751,2.2,5.6,7.6,5.8,0,0,3,0,1,1,False
NA1_5213003831,3.8,7.2,6.4,4.0,1,0,1,0,0,3,True
NA1_5213009956,4.6,4.0,3.8,5.6,1,0,2,0,1,1,False
NA1_5213009956,5.2,5.8,4.8,5.2,0,1,1,1,1,1,True
NA1_5213018135,6.8,4.2,5.6,7.4,2,1,0,1,1,0,True
NA1_5213018135,5.4,4.0,5.8,5.2,1,2,2,0,0,0,False
NA1_5213019207,5.2,5.2,5.6,6.0,0,0,2,2,0,1,True
NA1_5213019207,5.0,4.6,4.6,6.0,0,2,0,2,0,1,False
NA1_5213020312,5.2,2.6,6.4,6.6,2,0,2,1,0,0,True
NA1_5213020312,6.4,5.4,5.0,4.8,1,0,1,0,1,2,False
NA1_5213021351,5.2,3.6,3.8,5.2,0,1,2,1,1,0,True
NA1_5213021351,7.0,4.8,3.6,6.0,0,1,1,2,0,1,False
NA1_5213022292,4.4,5.4,6.0,4.8,0,0,1,1,1,2,False
NA1_5213022292,4.6,4.0,6.0,6.2,0,0,2,2,0,1,True
NA1_5213026828,6.8,5.0,4.2,6.2,1,1,1,1,0,1,True
NA1_5213026828,4.0,5.0,6.8,5.8,0,1,2,0,0,2,False
NA1_5213032268,6.0,4.2,5.2,6.4,0,0,1,3,0,1,False
NA1_5213032268,3.4,4.2,7.8,5.6,0,0,3,0,1,1,True
NA1_5213039077,4.8,4.6,5.8,5.4,2,1,1,0,0,1,True
NA1_5213039077,3.2,3.8,7.8,7.4,0,1,2,1,1,0,False
NA1_5213041963,4.2,4.0,7.2,5.6,0,2,2,0,1,0,True
NA1_5213041963,4.4,3.4,4.4,4.8,0,0,1,2,1,1,False
NA1_5213050751,6.2,3.6,5.4,6.4,0,1,2,2,0,0,False
NA1_5213050751,7.0,4.4,4.4,5.0,1,1,0,2,1,0,True
NA1_5213053132,4.6,3.0,4.2,3.8,0,0,1,2,1,1,True
NA1_5213053132,6.4,5.4,4.4,4.6,1,1,2,0,0,1,False
NA1_5213056326,7.0,6.2,3.8,3.8,0,1,0,2,0,2,True
NA1_5213056326,5.4,4.2,5.6,6.0,1,0,2,2,0,0,False
NA1_5213056989,4.2,5.6,6.8,4.2,1,2,1,0,0,1,False
NA1_5213056989,6.6,2.4,4.4,4.0,1,0,1,2,1,0,True
NA1_5213062099,6.2,5.0,4.2,6.2,0,3,1,0,0,1,False
NA1_5213062099,4.6,4.8,6.2,5.6,0,1,2,0,1,1,True
NA1_5213062672,6.6,5.0,3.6,4.2,0,2,0,1,0,2,False
NA1_5213062672,5.6,4.0,5.6,6.2,0,1,2,1,1,0,True
NA1_5213065789,6.2,5.0,5.0,7.0,1,1,1,2,0,0,True
NA1_5213065789,5.8,6.4,4.0,3.8,1,0,0,1,1,2,False
NA1_5213071111,4.0,4.0,5.0,5.2,1,0,1,1,1,1,False
NA1_5213071111,3.4,5.0,5.0,4.2,0,0,3,1,0,1,True
NA1_5213073359,6.0,5.4,4.6,5.8,0,1,1,1,0,2,True
NA1_5213073359,4.2,4.2,6.8,6.6,0,0,3,1,1,0,False
NA1_5213077109,5.4,4.0,4.8,7.2,1,1,1,1,1,0,False
NA1_5213077109,5.4,4.8,4.8,5.4,1,2,1,0,1,0,True
NA1_5213081778,5.0,4.0,5.4,4.8,1,1,2,0,1,0,False
NA1_5213081778,6.0,4.6,5.4,5.6,0,1,2,1,1,0,True
NA1_5213082140,4.8,4.8,6.8,6.4,0,1,2,1,0,1,False
NA1_5213082140,4.2,5.0,6.6,6.4,1,1,0,1,0,2,True
NA1_5213087742,7.4,4.2,4.0,5.4,1,1,0,2,1,0,True
NA1_5213087742,4.8,4.0,6.0,5.0,0,2,3,0,0,0,False
NA1_5213088103,5.6,4.8,5.4,6.2,0,1,2,1,0,1,False
NA1_5213088103,5.2,4.2,4.8,5.8,1,0,1,1,1,1,True
NA1_5213093859,6.6,4.4,4.0,6.0,0,1,2,1,0,1,True
NA1_5213093859,6.2,3.4,6.2,6.4,0,0,2,2,0,1,False
NA1_5213097590,4.2,5.8,6.0,3.8,0,0,1,1,1,2,True
NA1_5213097590,4.2,3.6,4.0,4.2,0,1,2,0,2,0,False
NA1_5213105712,8.0,3.2,6.0,6.2,1,1,1,2,0,0,True
NA1_5213105712,4.6,4.2,6.6,5.8,0,1,3,1,0,0,False
NA1_5213107070,6.4,6.2,4.0,5.8,0,1,1,1,0,2,True
NA1_5213107070,3.8,3.8,6.2,5.2,1,1,0,1,1,1,False
NA1_5213107655,5.2,5.2,5.6,4.8,1,1,0,1,1,1,True
NA1_5213107655,5.4,4.2,3.4,6.2,1,1,1,1,0,1,False
NA1_5213107950,5.8,3.6,5.0,6.8,1,0,2,2,0,0,True
NA1_5213107950,6.0,2.8,6.8,6.8,0,0,3,2,0,0,False
NA1_5213109879,3.8,3.6,7.2,5.2,0,1,2,1,1,0,True
NA1_5213110877,6.4,6.4,3.8,5.2,0,0,0,2,0,3,False
NA1_5213110877,4.8,3.4,6.2,6.0,0,1,2,1,1,0,True
NA1_5213121514,5.2,4.4,5.6,4.6,0,2,1,1,1,0,True
NA1_5213121514,4.6,4.8,6.2,4.6,0,1,2,1,0,1,False
NA1_5213124901,5.2,3.0,6.0,5.8,0,1,3,1,0,0,False
NA1_5213124901,4.6,3.8,6.4,5.0,0,0,3,1,0,1,True
NA1_5213127566,5.6,5.4,5.8,6.0,0,2,1,1,0,1,True
NA1_5213127566,5.6,5.2,5.2,6.4,1,1,0,1,1,1,False
NA1_5213127879,6.0,4.4,5.2,5.8,0,2,1,1,1,0,True
NA1_5213128845,7.0,3.4,4.2,4.8,0,1,1,3,0,0,True
NA1_5213128845,6.2,4.0,4.4,5.4,1,0,1,2,0,1,False
NA1_5213131423,4.8,5.6,6.2,5.6,0,1,1,1,1,1,False
NA1_5213131423,6.4,3.2,4.6,4.8,1,1,1,2,0,0,True
NA1_5213138300,5.0,4.6,5.8,6.0,0,1,1,1,1,1,False
NA1_5213138300,2.6,3.4,6.2,7.4,1,0,2,1,1,0,True
NA1_5213140019,6.0,3.4,5.0,6.8,1,0,1,3,0,0,False
NA1_5213140019,5.0,4.2,5.6,5.8,0,0,1,1,2,1,True
NA1_5213141429,5.6,3.8,5.6,5.8,0,0,1,2,1,1,False
NA1_5213141429,5.4,3.8,6.0,5.8,0,1,1,1,1,1,True
NA1_5213141715,3.2,3.6,4.8,5.0,0,1,2,1,0,1,False
NA1_5213149387,6.0,4.2,5.2,4.2,0,1,1,2,1,0,False
NA1_5213149387,2.6,5.2,5.8,4.8,0,0,2,0,1,2,True
NA1_5213159760,4.8,4.4,4.8,5.2,0,0,1,2,1,1,True
NA1_5213159760,7.6,4.0,4.4,5.4,0,2,1,2,0,0,False
NA1_5213163032,4.8,3.0,6.2,6.2,1,1,3,0,0,0,False
NA1_5213163032,6.8,3.6,4.0,6.4,0,0,1,3,0,1,True
NA1_5213169491,5.8,2.8,2.4,5.6,0,0,1,1,1,2,True
NA1_5213169491,2.8,5.0,7.8,6.2,0,1,3,0,0,1,False
NA1_5213170213,5.4,4.0,3.2,2.8,0,3,1,0,1,0,True
NA1_5213170213,4.2,5.6,6.6,5.4,0,1,2,1,0,1,False
NA1_5213171551,6.0,3.6,5.2,5.0,2,0,0,2,1,0,False
NA1_5213171551,7.2,3.2,4.0,5.2,0,1,0,3,1,0,True
NA1_5213174446,5.2,4.6,6.0,6.0,0,0,3,1,0,1,True
NA1_5213174446,5.6,3.4,4.8,6.2,0,1,1,2,1,0,False
NA1_5213180971,7.8,2.8,4.0,6.8,0,2,1,2,0,0,False
NA1_5213180971,3.0,4.0,4.6,5.6,0,1,2,1,1,0,True
NA1_5213183219,3.8,4.2,7.0,3.2,0,1,1,1,2,0,True
NA1_5213183219,4.4,2.8,7.8,6.8,0,0,3,1,0,1,False
NA1_5213187094,6.8,5.8,3.6,4.8,0,2,0,1,0,2,True
NA1_5213187094,4.6,4.2,5.0,6.8,1,0,1,1,2,0,False
NA1_5213189069,6.6,4.4,4.0,6.0,0,2,1,1,1,0,False
NA1_5213189069,6.8,4.2,4.2,4.8,0,2,0,2,1,0,True
NA1_5213189405,6.4,4.0,4.8,6.8,1,1,1,2,0,0,True
NA1_5213189405,4.2,4.8,6.4,7.2,1,0,2,1,0,1,False
NA1_5213191318,3.2,3.2,8.0,6.2,0,0,3,0,2,0,False
NA1_5213191318,3.8,4.4,7.0,4.2,0,0,2,1,1,1,True
NA1_5213191714,5.0,5.8,6.4,6.6,1,2,1,0,0,1,False
NA1_5213191714,5.4,3.8,4.2,4.0,1,0,0,2,1,1,True
NA1_5213192764,4.6,3.6,6.8,8.0,1,0,3,0,1,0,False
NA1_5213192764,5.2,3.8,6.4,5.2,0,0,2,1,1,1,True
NA1_5213196289,5.2,5.0,5.2,4.8,1,2,0,1,0,1,False
NA1_5213196289,5.4,3.2,6.8,6.8,1,0,2,1,1,0,True
NA1_5213198839,6.0,3.6,4.6,5.2,1,0,2,2,0,0,True
NA1_5213199642,5.8,4.4,6.4,5.8,0,2,1,0,1,1,False
NA1_5213199642,5.8,3.8,2.4,3.4,0,2,0,1,1,1,True
NA1_5213206228,2.8,4.2,5.6,5.4,0,1,3,0,0,1,True
NA1_5213206228,7.2,4.2,5.2,5.2,0,2,1,2,0,0,False
NA1_5213208581,4.8,4.4,6.4,6.0,0,1,3,1,0,0,False
NA1_5213208581,4.8,5.6,6.0,3.6,0,1,2,1,0,1,True
NA1_5213209613,5.8,4.6,5.4,4.8,0,1,1,1,1,1,True
NA1_5213209613,5.4,4.0,5.8,7.8,0,1,1,2,0,1,False
NA1_5213212813,7.0,3.8,4.0,4.2,0,2,0,2,1,0,False
NA1_5213212813,5.0,3.4,4.2,4.8,0,1,1,2,0,1,True
NA1_5213213942,6.2,3.6,4.0,7.0,1,1,1,1,0,1,True
NA1_5213213942,3.6,5.4,7.0,6.8,0,1,2,1,1,0,False
NA1_5213222475,5.6,3.6,5.6,5.6,0,1,2,2,0,0,True
NA1_5213222475,6.0,5.6,5.2,4.6,0,3,1,0,0,1,False
NA1_5213222845,3.6,5.0,6.0,8.0,1,0,2,0,1,1,False
NA1_5213222845,6.4,4.0,4.6,4.6,0,0,1,3,0,1,True
NA1_5213225552,2.6,6.0,7.0,4.8,0,0,3,0,0,2,False
NA1_5213225552,3.6,4.4,5.4,5.8,2,0,1,0,1,1,True
NA1_5213227598,4.4,4.0,7.0,4.4,0,1,1,1,2,0,True
NA1_5213227598,4.8,4.0,6.6,7.6,1,0,2,1,0,1,False
NA1_5213233030,3.0,4.8,4.2,4.8,1,0,2,0,1,1,False
NA1_5213233030,5.8,4.2,5.2,6.4,0,2,1,2,0,0,True
NA1_5213235734,4.2,5.2,6.4,5.0,0,0,1,1,2,1,False
NA1_5213235734,5.4,4.6,5.2,7.0,2,1,0,1,0,1,True
NA1_5213235862,4.0,3.6,7.4,5.6,0,0,2,1,2,0,False
NA1_5213235862,3.4,4.2,7.2,5.6,0,2,2,0,0,1,True
NA1_5213236461,4.6,5.0,6.6,6.6,1,0,1,2,0,1,True
NA1_5213236461,6.0,3.0,5.2,7.2,0,1,2,1,1,0,False
NA1_5213236772,4.0,5.2,7.2,5.0,1,0,2,0,0,2,False
NA1_5213236772,6.2,3.4,5.2,5.8,0,1,1,3,0,0,True
NA1_5213249365,6.2,3.4,6.0,7.6,1,2,1,1,0,0,False
NA1_5213249365,5.2,5.4,5.4,7.2,0,1,2,1,0,1,True
NA1_5213251862,4.4,5.0,6.8,5.4,0,2,2,0,1,0,True
NA1_5213251862,5.2,5.0,4.2,5.6,0,1,1,2,0,1,False
NA1_5213256406,2.2,3.0,7.2,6.0,2,0,3,0,0,0,False
NA1_5213256406,6.2,3.2,3.2,3.6,0,3,1,0,1,0,True
NA1_5213257483,5.4,3.6,7.0,6.4,1,1,2,1,0,0,True
NA1_5213257483,7.8,3.8,3.4,4.8,1,2,0,1,1,0,False
NA1_5213266063,4.6,3.4,7.4,7.0,0,0,2,2,0,1,True
NA1_5213266063,3.4,3.6,5.0,5.4,0,0,2,1,1,1,False
NA1_5213267117,5.0,5.8,6.2,4.6,0,2,1,1,0,1,False
NA1_5213267117,4.0,3.6,7.4,6.6,1,0,2,1,1,0,True
NA1_5213271088,4.0,4.8,7.6,5.8,1,1,2,0,0,1,False
NA1_5213271088,5.2,4.6,5.2,6.0,0,1,2,2,0,0,True
NA1_5213272163,4.8,4.8,6.6,5.6,1,1,1,1,0,1,True
NA1_5213272163,4.6,5.6,5.4,5.6,0,0,2,1,0,2,False
NA1_5213280254,4.8,3.8,6.6,7.4,0,1,2,1,1,0,True
NA1_5213280254,5.4,2.8,7.2,6.6,0,0,2,2,1,0,False
NA1_5213280989,7.4,2.8,5.2,6.4,0,1,1,2,1,0,False
NA1_5213280989,5.0,3.2,7.0,7.2,0,1,3,0,1,0,True
NA1_5213281073,6.4,6.0,5.2,6.6,1,0,1,0,1,2,True
NA1_5213281073,5.0,5.4,5.8,6.4,0,2,1,0,1,1,False
NA1_5213281100,5.2,3.8,3.6,3.4,0,2,1,0,1,1,True
NA1_5213281100,4.0,4.2,6.6,6.6,0,0,2,0,2,1,False
NA1_5213281635,6.2,5.8,4.8,4.6,0,1,0,2,0,2,False
NA1_5213281635,4.8,4.0,7.0,5.6,0,0,3,1,0,1,True
NA1_5213283697,4.8,5.6,5.6,4.8,1,1,1,0,0,2,False
NA1_5213283697,5.4,3.4,7.2,6.4,0,1,1,2,1,0,True
NA1_5213287149,4.8,4.8,6.0,4.0,0,0,1,1,1,2,True
NA1_5213287149,5.0,5.0,5.6,6.0,1,0,0,1,2,1,False
NA1_5213295747,5.2,4.8,5.6,6.6,0,2,2,1,0,0,True
NA1_5213295747,6.2,3.8,5.2,6.0,0,2,2,1,0,0,False
NA1_5213301393,5.6,4.8,5.6,5.8,0,1,2,0,0,2,True
NA1_5213301393,7.2,5.6,4.4,5.6,1,0,1,2,0,1,False
NA1_5213302751,7.8,5.4,4.0,5.8,0,1,0,2,0,2,False
NA1_5213302751,5.0,5.8,5.6,4.2,0,2,0,1,1,1,True
NA1_5213306518,6.4,3.8,4.4,5.4,1,0,0,3,0,1,True
NA1_5213306518,5.4,4.8,5.2,6.6,0,2,2,1,0,0,False
NA1_5213310165,5.8,5.4,4.8,5.4,0,2,0,1,1,1,False
NA1_5213310165,4.4,3.8,4.6,6.4,0,1,2,1,1,0,True
NA1_5213311590,6.2,3.8,4.8,4.6,0,1,1,2,1,0,True
NA1_5213311590,5.6,5.2,5.6,6.0,0,2,1,1,1,0,False
NA1_5213311685,6.0,2.6,3.4,5.0,1,0,1,3,0,0,True
NA1_5213311685,7.4,3.4,4.8,5.6,0,2,2,1,0,0,False
NA1_5213318460,5.4,3.2,5.6,4.8,0,0,2,3,0,0,False
NA1_5213318460,5.0,2.2,4.2,5.2,0,0,2,1,1,1,True
NA1_5213318826,5.2,3.4,6.0,7.2,0,1,2,2,0,0,True
NA1_5213318826,4.2,3.4,4.2,4.2,0,1,2,1,1,0,False
NA1_5213327124,5.0,6.8,4.2,4.2,1,1,1,0,0,2,False
NA1_5213327124,4.6,4.2,6.0,5.2,0,1,2,2,0,0,True
NA1_5213328244,3.4,4.4,4.6,5.2,1,1,2,0,1,0,True
NA1_5213328244,5.2,4.2,6.4,5.8,1,1,1,1,1,0,False
NA1_5213328670,4.2,4.4,5.0,3.0,0,1,1,1,0,2,False
NA1_5213328670,2.8,4.8,5.6,5.6,1,1,1,1,0,1,True
NA1_5213332621,6.8,2.6,5.2,5.0,0,0,1,3,1,0,True
NA1_5213332621,5.4,3.6,5.2,4.2,0,1,2,2,0,0,False
